"GeneratedAtUtc","ComputerName","OverallStatus","CheckName","Category","Target","Status","Message","ObservedValue","WarningThreshold","CriticalThreshold","Recommendation","CheckDurationMs","Error","EvidenceJson"
"2026-07-23T08:40:13.8544201Z","SRV-RDS-02","Critical","Uptime","Lifecycle","Operating system","Healthy","0.12 days since last boot (2026-07-23 07:43:46 +02:00).","0.12 days",">= 45 days",">= 90 days","","340.16","","{""LastBootTime"":""2026-07-23T05:43:46.5000000Z"",""UptimeDays"":0.12,""UptimeHours"":2.94}"
"2026-07-23T08:40:13.8544201Z","SRV-RDS-02","Critical","PendingReboot","Lifecycle","Operating system","Healthy","No supported pending-reboot indicators were detected.","False","Any supported reboot indicator","","","207.01","","{""Pending"":false,""Reasons"":[],""ExcludedReasons"":[]}"
"2026-07-23T08:40:13.8544201Z","SRV-RDS-02","Critical","PatchAge","Lifecycle","Operating system","Healthy","Last update (KB5094126) was installed 34 day(s) ago on 2026-06-19.","34.44 days",">= 45 days",">= 90 days","","2393.97","","{""LastPatchDate"":""2026-06-18T22:00:00.0000000Z"",""LastPatchId"":""KB5094126"",""DaysSince"":34.44,""LastBootTime"":""2026-07-23T05:43:46.5000000Z"",""AwaitingReboot"":false,""TotalPatches"":7,""RecentPatches"":[{""HotFixId"":""KB5094126"",""Description"":""Security Update"",""InstalledOn"":""2026-06-18T22:00:00.0000000Z""},{""HotFixId"":""KB5094135"",""Description"":""Security Update"",""InstalledOn"":""2026-06-17T22:00:00.0000000Z""},{""HotFixId"":""KB5087051"",""Description"":""Update"",""InstalledOn"":""2026-05-21T22:00:00.0000000Z""},{""HotFixId"":""KB5054156"",""Description"":""Update"",""InstalledOn"":""2026-04-26T22:00:00.0000000Z""},{""HotFixId"":""KB5054273"",""Description"":""Update"",""InstalledOn"":""2025-08-05T22:00:00.0000000Z""}]}"
"2026-07-23T08:40:13.8544201Z","SRV-RDS-02","Critical","Services","Availability","EventLog","Healthy","Service 'Windows Event Log' is Running.","Running","","Expected: Running","","890.02","","{""Name"":""EventLog"",""DisplayName"":""Windows Event Log"",""Status"":""Running"",""ExpectedStatus"":""Running"",""StartMode"":""Auto"",""Exists"":true}"
"2026-07-23T08:40:13.8544201Z","SRV-RDS-02","Critical","Services","Availability","Winmgmt","Healthy","Service 'Windows Management Instrumentation' is Running.","Running","","Expected: Running","","890.02","","{""Name"":""Winmgmt"",""DisplayName"":""Windows Management Instrumentation"",""Status"":""Running"",""ExpectedStatus"":""Running"",""StartMode"":""Auto"",""Exists"":true}"
"2026-07-23T08:40:13.8544201Z","SRV-RDS-02","Critical","ScheduledTasks","Availability","Scheduled tasks","Warning","2 of 17 evaluated scheduled task(s) failed their last run.","2",">= 1 failed task(s)",">= 5 failed task(s)","Check the task result codes and last run times, then re-run or repair the failing tasks.","2277.44","","{""FailedCount"":2,""EvaluatedCount"":17,""FailedTasks"":[{""Task"":""\\Contoso\\Profile Cleanup"",""LastTaskResult"":""0x8004EE04"",""LastRunTime"":""2026-07-23T05:48:50.0000000Z""},{""Task"":""\\Contoso\\Session Report Export"",""LastTaskResult"":""0x8007042B"",""LastRunTime"":""2026-06-25T10:03:27.0000000Z""}],""Truncated"":false}"
"2026-07-23T08:40:13.8544201Z","SRV-RDS-02","Critical","Certificates","Security","CN=b6e84d02-9a1f-47c3-8e5a-f2d70c4b91e6, DC=3a9e1c25-7f4d-4b6e-8d02-c1f5a7b9e364 [91A3C50D84F2]","Healthy","Auto-rotating certificate (total lifetime 1 day(s)) is valid until 2026-07-24.","0.88 days","<= 30 days","<= 14 days or expired","","2.86","","{""Subject"":""CN=b6e84d02-9a1f-47c3-8e5a-f2d70c4b91e6, DC=3a9e1c25-7f4d-4b6e-8d02-c1f5a7b9e364"",""Issuer"":""CN=MS-Organization-P2P-Access [2025]"",""Thumbprint"":""4C82B5F09E3DA761C48F20D5B7E691A3C50D84F2"",""SerialNumber"":""00C74B29F1E8D3A5066B42C90DE13F5A88"",""StorePath"":""Cert:\\LocalMachine\\My"",""NotBefore"":""2026-07-23T05:39:22.0000000Z"",""NotAfter"":""2026-07-24T05:44:22.0000000Z"",""DaysRemaining"":0.88,""TotalLifetimeDays"":1,""Rotating"":true,""HasPrivateKey"":true}"
"2026-07-23T08:40:13.8544201Z","SRV-RDS-02","Critical","Certificates","Security","Certificate inventory","Healthy","4 of 4 certificate(s) satisfy the expiry policy.","4","Expiry <= 30 days","Expiry <= 14 days","","11.44","","{""TotalCertificates"":4,""HealthyCertificates"":4,""RotatingCertificates"":1,""ExistingStores"":[""Cert:\\LocalMachine\\My""],""MissingStores"":[]}"
"2026-07-23T08:40:13.8544201Z","SRV-RDS-02","Critical","Defender","Security","Microsoft Defender","Critical","Microsoft Defender real-time protection is disabled.","0 day(s)",">= 3 days signature age",">= 7 days signature age or disabled protection","Re-enable Microsoft Defender protection or document the managed replacement; an unprotected host is a critical exposure.","155.45","","{""AntivirusEnabled"":true,""RealTimeProtectionEnabled"":false,""AntivirusSignatureAge"":0,""AntivirusSignatureLastUpdated"":""2026-07-22T22:45:00.0000000Z"",""AMEngineVersion"":""1.1.26060.3008""}"
"2026-07-23T08:40:13.8544201Z","SRV-RDS-02","Critical","EventLog","Reliability","System","Critical","126 critical/error event(s) in 'System' during the last 24 hour(s).","126",">= 25 events",">= 100 events","Triage the highest-volume providers and correlate events with service impact and recent changes.","214.61","","{""LogName"":""System"",""Count"":126,""RetrievedCount"":126,""LookbackHours"":24,""Levels"":[1,2],""Truncated"":false,""TopProviders"":[{""Provider"":""Schannel"",""Count"":100},{""Provider"":""Microsoft-Windows-Time-Service"",""Count"":10},{""Provider"":""Microsoft-Windows-DistributedCOM"",""Count"":8},{""Provider"":""Microsoft-Windows-Security-Kerberos"",""Count"":5},{""Provider"":""Service Control Manager"",""Count"":3}],""Samples"":[{""TimeCreated"":""2026-07-23T07:16:30.4454330Z"",""Id"":11,""Level"":""Error"",""ProviderName"":""Microsoft-Windows-Security-Kerberos"",""Message"":null},{""TimeCreated"":""2026-07-23T06:03:59.4513868Z"",""Id"":5010,""Level"":""Error"",""ProviderName"":""Microsoft-Windows-Time-Service"",""Message"":null},{""TimeCreated"":""2026-07-23T06:03:59.4150376Z"",""Id"":5010,""Level"":""Error"",""ProviderName"":""Microsoft-Windows-Time-Service"",""Message"":null},{""TimeCreated"":""2026-07-23T06:03:00.6595226Z"",""Id"":5010,""Level"":""Error"",""ProviderName"":""Microsoft-Windows-Time-Service"",""Message"":null},{""TimeCreated"":""2026-07-23T06:02:59.4489764Z"",""Id"":5010,""Level"":""Error"",""ProviderName"":""Microsoft-Windows-Time-Service"",""Message"":null}],""QueryError"":""""}"
"2026-07-23T08:40:13.8544201Z","SRV-RDS-02","Critical","EventLog","Reliability","Application","Healthy","22 critical/error event(s) in 'Application' during the last 24 hour(s).","22",">= 25 events",">= 100 events","","214.61","","{""LogName"":""Application"",""Count"":22,""RetrievedCount"":22,""LookbackHours"":24,""Levels"":[1,2],""Truncated"":false,""TopProviders"":[{""Provider"":"".NET Runtime"",""Count"":13},{""Provider"":""Universal Print"",""Count"":4},{""Provider"":""Application Error"",""Count"":2},{""Provider"":""Application Hang"",""Count"":1},{""Provider"":""SideBySide"",""Count"":1}],""Samples"":[{""TimeCreated"":""2026-07-23T07:14:51.6787556Z"",""Id"":1022,""Level"":""Error"",""ProviderName"":"".NET Runtime"",""Message"":null},{""TimeCreated"":""2026-07-23T07:12:51.5394745Z"",""Id"":1022,""Level"":""Error"",""ProviderName"":"".NET Runtime"",""Message"":null},{""TimeCreated"":""2026-07-23T07:02:10.7380332Z"",""Id"":1022,""Level"":""Error"",""ProviderName"":"".NET Runtime"",""Message"":null},{""TimeCreated"":""2026-07-23T06:58:04.9384144Z"",""Id"":1022,""Level"":""Error"",""ProviderName"":"".NET Runtime"",""Message"":null},{""TimeCreated"":""2026-07-23T06:18:08.6970391Z"",""Id"":1022,""Level"":""Error"",""ProviderName"":"".NET Runtime"",""Message"":null}],""QueryError"":""""}"
"2026-07-23T08:40:13.8544201Z","SRV-RDS-02","Critical","Stability","Reliability","Operating system","Healthy","No crash indicators in the last 7 day(s).","0",">= 1 incident(s)",">= 3 incident(s)","","531.2","","{""IncidentCount"":0,""LookbackDays"":7,""Incidents"":[],""MinidumpCount"":0,""QueryErrors"":[]}"
"2026-07-23T08:40:13.8544201Z","SRV-RDS-02","Critical","Storage","Reliability","Storage inventory","Healthy","1 of 1 physical disk(s) and 2 of 2 fixed volume(s) report healthy status.","3","","Health status must be Healthy","","160.35","","{""PhysicalDisks"":[{""FriendlyName"":""Msft Virtual Disk"",""MediaType"":""SSD"",""HealthStatus"":""Healthy"",""OperationalStatus"":""OK"",""SizeGB"":953.87}],""FixedVolumes"":[{""DriveLetter"":""C"",""FileSystemLabel"":"""",""FileSystem"":""NTFS"",""HealthStatus"":""Healthy""},{""DriveLetter"":"""",""FileSystemLabel"":"""",""FileSystem"":""NTFS"",""HealthStatus"":""Healthy""}],""UnhealthyObjects"":0}"
"2026-07-23T08:40:13.8544201Z","SRV-RDS-02","Critical","Dns","Connectivity","DNS targets","Skipped","No DNS targets are configured.","","","","Add required names under Checks.Dns.Targets to validate name resolution from the target host.","0","","{}"
"2026-07-23T08:40:13.8544201Z","SRV-RDS-02","Critical","Tcp","Connectivity","TCP endpoints","Skipped","No TCP endpoints are configured.","","","","Add required host and port pairs under Checks.Tcp.Endpoints.","0","","{}"
"2026-07-23T08:40:13.8544201Z","SRV-RDS-02","Critical","Tls","Security","TLS endpoints","Skipped","No TLS endpoints are configured.","","","","Add host entries under Checks.Tls.Endpoints to validate TLS handshakes, certificate identity, and expiry.","0","","{}"
